created_stamp,modified_stamp,traditional,jyutping,correct,incorrect,difficulty,priority,last_reviewed_stamp
2021-04-26 20:27:46,2021-07-23 16:14:07,腳,goek3,1,2,88,,2021-05-24 16:44:50
2021-04-26 20:26:56,2021-07-23 16:14:07,下巴,haa6 baa1,2,2,90,,2021-05-27 19:22:26
2021-04-26 20:26:45,2021-07-23 16:14:07,頭,tau4,2,0,96,,2021-05-22 15:56:47
2021-04-20 19:57:09,2021-07-23 16:14:07,嘴,zeoi2,1,2,90,,2021-05-24 16:45:19
2021-04-08 18:59:56,2021-07-23 16:14:07,茂名,Mau6 ming4,1,7,90,,2021-05-27 19:26:02
2021-04-08 18:58:54,2021-07-23 16:14:07,韓文,Hon4 man2,1,5,90,,2021-05-24 16:44:46
2021-04-08 18:58:41,2021-07-23 16:14:07,純熟,seon4 suk6,2,5,86,,2021-05-27 19:29:57
2021-04-08 18:57:44,2021-07-23 16:14:07,杯,bui1,4,1,86,,2021-05-24 16:40:08
2021-04-08 18:56:08,2021-07-23 16:14:07,油,jau4,4,0,100,,2021-05-24 16:40:03
2021-04-08 18:54:04,2021-07-23 16:14:07,荒地,fong1 dei6,2,3,86,low,2021-05-27 19:38:02
2021-04-08 18:53:07,2021-07-23 16:14:07,蛋捲,daan6 gyun2,1,6,90,,2021-05-27 19:22:42
2021-04-08 18:52:37,2021-07-23 16:14:07,北京烤鴨,bak1 ging1 haau1 ngaap3,1,5,90,low,2021-05-27 19:38:26
2021-04-08 18:52:19,2021-07-23 16:14:07,小籠包,siu2 lung4 baau1,1,5,90,,2021-05-24 16:41:33
2021-04-08 18:51:56,2021-07-30 18:25:36,蔥油餅,cung1 jau4 beng2,0,2,88,,2021-05-27 20:03:14
2021-03-31 18:08:59,2021-07-23 16:14:07,沙漠,saa1 mok6,1,6,90,low,2021-05-27 19:38:21
2021-03-31 18:08:41,2021-07-23 16:14:07,駱駝,lok3 to4,1,7,90,,2021-05-27 19:23:28
2021-03-31 18:02:01,2021-07-23 16:14:07,點心,dim2 sam1,4,0,100,,2021-05-24 16:39:58
2021-03-31 17:57:11,2021-07-23 16:14:07,甜品,tim4 ban2,2,5,80,,2021-05-27 19:23:08
2021-03-31 17:56:13,2021-07-23 16:14:07,動物,dung6 mat6,3,2,82,,2021-05-22 15:57:37
2021-03-31 17:54:31,2021-07-23 16:14:07,肥牛,fei4 ngau4,2,4,80,low,2021-05-27 19:37:53
2021-03-31 17:54:13,2021-07-23 16:14:07,嘔,au2,1,5,90,,2021-05-24 16:45:08
2021-03-31 17:53:59,2021-07-23 16:14:07,肥,fei4,3,2,80,,2021-05-24 16:40:22
2021-03-31 17:52:37,2021-07-23 16:14:07,唔理,m4 lei5,6,7,60,veryhigh,2021-08-12 04:07:44
2021-03-26 02:29:36,2021-07-23 16:14:07,好冇,hou2 mou2,0,1,90,,2021-03-26 15:08:36
2021-03-26 02:29:25,2021-07-23 16:14:07,汽水,hei3 seoi2,1,0,100,,2021-03-26 15:06:26
2021-03-26 02:28:29,2021-07-23 16:14:07,上頭,soeng6 tau4,0,1,92,,2021-03-26 15:06:43
2021-03-19 18:03:57,2021-07-23 16:14:07,切,cit3,1,1,84,,2021-03-26 15:01:06
2021-03-19 17:57:37,2021-07-23 16:14:07,聽眾,ting1 zung3,1,1,88,,2021-03-26 15:03:49
2021-03-19 17:55:26,2021-07-23 16:14:07,嘗試,soeng4 si3,0,2,90,,2021-03-26 15:01:27
2021-03-19 17:53:53,2021-07-23 16:14:07,語言,jyu5 jin4,1,1,90,,2021-03-26 15:03:58
2021-03-19 17:51:11,2021-07-23 16:14:07,思考,si1 haau2,0,2,90,,2021-03-26 15:02:22
2021-03-19 17:50:32,2021-07-23 16:14:07,學習,hok6 zaap6,4,11,70,high,2021-08-10 21:35:43
2021-03-19 17:50:02,2021-07-23 16:14:07,方面,fong1 min6,2,0,100,,2021-03-26 15:04:26
2021-03-19 17:49:33,2021-07-23 16:14:07,唔怪得,m4 gwaai3 dak1,0,2,90,,2021-03-26 14:59:18
2021-03-19 17:49:02,2021-07-23 16:14:07,係咪?,hai6 mai5,1,1,90,,2021-03-26 14:58:35
2021-03-19 17:46:57,2021-07-23 16:14:07,察覺,caat3 gok3,0,2,90,,2021-03-26 15:00:11
2021-03-19 17:44:25,2021-07-23 16:14:07,轉左,zyun3 zo2,0,2,90,,2021-03-26 14:58:47
2021-03-19 17:43:26,2021-07-23 16:14:07,直行,zik6 hang4,0,2,90,,2021-03-26 14:59:01
2021-03-16 16:19:33,2021-07-23 16:14:07,熱鬧,jit6 naau6,2,2,90,,2021-03-26 15:03:12
2021-03-16 16:18:21,2021-07-23 16:14:07,分手,fan1 sau2,1,3,90,,2021-03-26 15:00:59
2021-03-16 16:17:43,2021-07-23 16:14:07,通常,tung1 soeng4,2,4,90,high,2021-08-12 04:17:02
2021-03-10 13:42:04,2021-07-23 16:14:07,碗,wun2,2,2,90,,2021-03-26 14:58:40
2021-03-10 13:41:32,2021-07-23 16:14:07,洗手間,sai2 sau2 gaan1,1,3,82,,2021-03-26 15:05:33
2021-03-09 23:10:25,2021-07-23 16:14:07,早唞,zou2 tau2,2,2,90,,2021-03-26 15:02:59
2021-03-09 20:22:44,2021-07-23 16:14:07,公仔麵,gung1 zai2 min6,4,0,100,,2021-03-26 15:04:37
2021-03-09 20:19:26,2021-07-23 16:14:07,搬屋,bun1 uk1,3,1,90,,2021-03-26 15:03:35
2021-03-09 19:29:35,2021-07-23 16:14:07,一下,jat1 haa6,0,0,100,,2021-03-09 19:42:22
